REGION,TECHNOLOGY,EMISSION,MODE_OF_OPERATION,YEAR,VALUE
"SC","IMPDSL","CO2",1,2019,1.3497
"SC","IMPDSL","CO2",1,2020,1.07976
"SC","IMPDSL","CO2",1,2021,1.07976
"SC","IMPDSL","CO2",1,2022,1.181587549626
"SC","IMPDSL","CO2",1,2023,1.3497
"SC","IMPDSL","CO2",1,2024,1.383566213502
"SC","IMPDSL","CO2",1,2025,1.21473
"SC","IMPDSL","CO2",1,2026,1.21473
"SC","IMPDSL","CO2",1,2027,1.21473
"SC","IMPDSL","CO2",1,2028,1.21473
"SC","IMPDSL","CO2",1,2029,1.21473
"SC","IMPDSL","CO2",1,2030,0.53988
"SC","IMPDSL","CO2",1,2031,0.53988
"SC","IMPDSL","CO2",1,2032,0.53988
"SC","IMPDSL","CO2",1,2033,0.53988
"SC","IMPDSL","CO2",1,2034,0.539879999999998
"SC","IMPDSL","CO2",1,2035,0.53988
"SC","IMPDSL","CO2",1,2036,0.539879999999998
"STC","IMPDSL","CO2",1,2019,2.63893343999999
"STC","IMPDSL","CO2",1,2020,2.069683968
"STC","IMPDSL","CO2",1,2021,2.530849464
"STC","IMPDSL","CO2",1,2022,3.05127644499254
"STC","IMPDSL","CO2",1,2023,2.87850402925799
"STC","IMPDSL","CO2",1,2024,2.42946
"STC","IMPDSL","CO2",1,2025,2.510442
"STC","IMPDSL","CO2",1,2026,2.51044199999999
"STC","IMPDSL","CO2",1,2027,2.51044199999999
"STC","IMPDSL","CO2",1,2028,2.51044199999999
"STC","IMPDSL","CO2",1,2029,2.51044199999999
"STC","IMPDSL","CO2",1,2030,0.80982
"STC","IMPDSL","CO2",1,2031,0.80982
"STC","IMPDSL","CO2",1,2032,0.80982
"STC","IMPDSL","CO2",1,2033,0.809819999999999
"STC","IMPDSL","CO2",1,2034,0.809819999999998
"STC","IMPDSL","CO2",1,2035,0.809820000000001
"STC","IMPDSL","CO2",1,2036,0.67485
"STC","IMPDSL","CO2",1,2037,0.674849999999998
"STC","IMPDSL","CO2",1,2038,0.674849999999999
"STC","IMPDSL","CO2",1,2039,0.674850000000002
"STC","IMPDSL","CO2",1,2040,0.67485
"IS","IMPDSL","CO2",1,2019,0.36010333425
"IS","IMPDSL","CO2",1,2020,0.22729231437
"IS","IMPDSL","CO2",1,2021,0.242946
"IS","IMPDSL","CO2",1,2022,0.40074496077
"IS","IMPDSL","CO2",1,2023,0.393918151176
"IS","IMPDSL","CO2",1,2024,0.40491
"IS","IMPDSL","CO2",1,2025,0.40491
"IS","IMPDSL","CO2",1,2026,0.40491
"IS","IMPDSL","CO2",1,2027,0.40491
"IS","IMPDSL","CO2",1,2028,0.40491
"IS","IMPDSL","CO2",1,2029,0.40491
"IS","IMPDSL","CO2",1,2030,0.40491
"IS","IMPDSL","CO2",1,2031,0.40491
"IS","IMPDSL","CO2",1,2032,0.40491
"IS","IMPDSL","CO2",1,2033,0.40491
"FL","IMPDSL","CO2",1,2019,0.0161964
"FL","IMPDSL","CO2",1,2020,0.0115320486283347
"FL","IMPDSL","CO2",1,2021,0.013497
"FL","IMPDSL","CO2",1,2022,0.0174877078543347
"FL","IMPDSL","CO2",1,2023,0.0178567158343347
"FL","IMPDSL","CO2",1,2024,0.0188958
"FL","IMPDSL","CO2",1,2025,0.0188958
"FL","IMPDSL","CO2",1,2026,0.0188958
"FL","IMPDSL","CO2",1,2027,0.0188958
